HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
53871,299.14259,-20.24473125,,Chamaeleon,F,4,0.383,2.54,8.04,8.83,7057,1.85,1.56
54017,298.8914249,-19.61369183,,Chamaeleon,F,5,0.563,3.17,4.73,7.88,6448.4,1.605,1.31
58361,301.1012623,-19.84218864,,Chamaeleon,G,5,0.638,4.06,2.18,8.74,5815,1.344,1.05
56256,299.8572807,-19.03631374,,Chamaeleon,A,,0.445,1.62,19.06,8.44,7047,4.822,1.56
58032,300.6404177,-18.57504418,,Chamaeleon,F,4,0.427,2.53,8.2,9.37,6906,2.843,1.5
52381,298.4095225,-20.32390265,,Chamaeleon,F,4,0.46,1.72,17.43,8.05,6383,3.365,1.28
52969,298.0937148,-19.22452969,,Chamaeleon,A,,0.197,0.98,33.78,8.03,8207,4.757,2.01
51632,297.6080026,-19.76000101,,Chamaeleon,A,,0.124,1.09,30.8,7.77,8627,2.833,2.16
49859,296.5431568,-19.84377472,,Chamaeleon,F,4,0.423,3.7,2.79,8.82,6483,1.224,1.32
51713,297.2794812,-19.19153113,,Chamaeleon,F,5,0.415,2.51,8.79,7.18,6684.7,2.324,1.42
53651,298.344207,-18.93961781,,Chamaeleon,F,5,0.552,4.44,1.47,8.65,6084,1.084,1.14
52874,297.6577676,-18.57008008,,Chamaeleon,G,5,0.659,4.16,2.01,8.99,5775,1.338,1.03
54374,298.236339,-17.84606114,,Chamaeleon,A,5,0.278,2.16,11.32,8.89,7993,1.721,1.93
52069,296.8985765,-18.23169933,,Chamaeleon,A,5,0.278,2.13,12.08,7.8,7405,2.001,1.69
58291,300.6033714,-17.86875932,,Chamaeleon,B,5,0.4,0.44,55.92,7.45,8081,3.488,1.96
57192,300.0260805,-17.99659979,,Chamaeleon,B,4,0.084,0.4,59.71,6.61,9173,4.181,2.32
56395,299.5374718,-17.89532344,,Chamaeleon,A,5,0.239,2.72,7.01,8.05,7687,1.692,1.8
55225,298.6790035,-17.57204225,HR 4385,Chamaeleon,A,3,0.266,2.42,8.91,6.35,7416,1.848,1.69
55156,298.51429,-17.30240676,,Chamaeleon,G,4,0.693,4.03,2.33,9.1,5860,1.31,1.06
56521,298.8819421,-15.70125991,,Chamaeleon,A,4,0.287,2.11,11.91,8.97,7479,1.663,1.72
55497,298.0676199,-15.58990997,HR 4397,Chamaeleon,A,3,0.202,2.08,12.24,6.43,7859,1.856,1.87
54114,297.712136,-17.0976557,,Chamaeleon,K,5,0.809,5.4,0.7,8.87,5390.5,0.851,0.94
51500,295.8395443,-17.27394558,,Chamaeleon,G,5,0.696,3.93,2.56,8.51,5620,1.523,1
51748,295.9645858,-17.1488826,,Chamaeleon,K,,0.902,6.38,0.31,10.18,4979,0.76,0.82
52712,296.2743219,-16.37320957,,Chamaeleon,F,5,0.622,3.19,4.83,9.34,6159,2.988,1.17
54521,297.4913606,-16.0152011,,Chamaeleon,F,5,0.461,3.69,2.9,8.51,6725.1,1.255,1.43
54413,297.3701098,-15.91397443,,Chamaeleon,B,,0.369,2.47,8.6,8.44,10889,2.363,2.83
52461,295.5987541,-15.56679432,,Chamaeleon,G,5,0.753,4.71,1.29,8.65,5606,1.166,0.99
